id,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
0,Green Oaks,800000,3,2,2000,"Welcome to this eco-friendly oasis nestled in the heart of Green Oaks. This charming 3-bedroom, 2-bathroom home boasts energy-efficient features such as solar panels and a well-insulated structure. Natural light floods the living spaces, highlighting the beautiful hardwood floors and eco-conscious finishes. The open-concept kitchen and dining area lead to a spacious backyard with a vegetable garden, perfect for the eco-conscious family. Embrace sustainable living without compromising on style in this Green Oaks gem.","Green Oaks is a close-knit, environmentally-conscious community with access to organic grocery stores, community gardens, and bike paths. Take a stroll through the nearby Green Oaks Park or grab a cup of coffee at the cozy Green Bean Cafe. With easy access to public transportation and bike lanes, commuting is a breeze."
1,Sunnyvale,950000,4,3,2500,"Located in the desirable neighborhood of Sunnyvale, this 4-bedroom, 3-bathroom home offers spacious living areas and a beautifully landscaped backyard. The updated kitchen features stainless steel appliances and granite countertops, perfect for entertaining guests. The master suite includes a walk-in closet and a luxurious en-suite bathroom. Enjoy the sunny California weather in the private backyard oasis with a patio and lush greenery.","Sunnyvale is known for its top-rated schools, family-friendly community events, and proximity to tech companies in Silicon Valley. Explore the nearby parks, farmers' markets, and trendy restaurants in this vibrant neighborhood."
2,Brooklyn Heights,1200000,5,4,3500,"Welcome to this stunning 5-bedroom, 4-bathroom home in the historic neighborhood of Brooklyn Heights. This elegant brownstone features high ceilings, original moldings, and hardwood floors throughout. The gourmet kitchen is equipped with top-of-the-line appliances and a center island for casual dining. The spacious backyard offers a peaceful retreat from city life, with a deck and garden perfect for outdoor entertaining.","Brooklyn Heights is a charming neighborhood known for its tree-lined streets, historic architecture, and waterfront views of the Manhattan skyline. Enjoy easy access to boutique shops, cafes, and cultural attractions in this vibrant community."
3,Pacific Palisades,3500000,6,5,5000,"Experience luxury living in this 6-bedroom, 5-bathroom estate in the prestigious neighborhood of Pacific Palisades. The grand foyer leads to a formal living room with a fireplace and a separate dining room for elegant entertaining. The chef's kitchen features custom cabinetry, high-end appliances, and a breakfast nook overlooking the lush backyard. The master suite includes a private balcony, a spa-like bathroom, and a walk-in closet. Relax in the resort-style backyard with a pool, spa, and outdoor kitchen.","Pacific Palisades is a sought-after neighborhood with upscale shopping, dining, and outdoor recreation options. Enjoy easy access to hiking trails, beaches, and the iconic Getty Villa in this exclusive coastal community."
4,Georgetown,1800000,4,3,3000,"Situated in the historic neighborhood of Georgetown, this 4-bedroom, 3-bathroom townhouse offers a blend of modern amenities and classic charm. The open-concept living and dining area feature exposed brick walls, hardwood floors, and a cozy fireplace. The gourmet kitchen is equipped with stainless steel appliances and a center island for casual dining. The private rooftop terrace offers panoramic views of the city skyline, perfect for outdoor entertaining.","Georgetown is known for its cobblestone streets, historic architecture, and vibrant dining scene. Explore the boutiques, art galleries, and waterfront parks in this lively neighborhood."
5,Beverly Hills,5000000,7,6,7000,"Live in luxury in this 7-bedroom, 6-bathroom mansion in the prestigious neighborhood of Beverly Hills. The grand foyer leads to a formal living room with a fireplace, a formal dining room, and a gourmet kitchen with top-of-the-line appliances. The master suite features a sitting area, a spa-like bathroom, and a walk-in closet. The backyard oasis includes a pool, spa, outdoor kitchen, and lush landscaping for ultimate privacy and relaxation.","Beverly Hills is synonymous with luxury living, offering upscale shopping, dining, and entertainment options. Explore the iconic Rodeo Drive, visit celebrity hotspots, and enjoy the glamorous lifestyle in this exclusive neighborhood."
6,South Beach,1500000,3,2,1800,"Experience waterfront living in this 3-bedroom, 2-bathroom condo in the vibrant neighborhood of South Beach. The open-concept living and dining area feature floor-to-ceiling windows with stunning views of the bay. The gourmet kitchen is equipped with modern appliances and a breakfast bar. The master suite includes a walk-in closet and a luxurious en-suite bathroom. Relax on the private balcony and watch the sunset over the water.","South Beach is a trendy neighborhood known for its sandy beaches, waterfront dining, and lively nightlife. Explore the art deco architecture, boutique shops, and cultural attractions in this bustling community."
7,Tribeca,2800000,4,3,2400,"Welcome to this modern 4-bedroom, 3-bathroom loft in the trendy neighborhood of Tribeca. The open-concept living and dining area feature high ceilings, exposed brick walls, and oversized windows. The chef's kitchen is equipped with stainless steel appliances, quartz countertops, and a center island for casual dining. The master suite includes a walk-in closet and a spa-like bathroom. Enjoy city views from the private rooftop terrace, perfect for outdoor entertaining.","Tribeca is a chic neighborhood known for its cobblestone streets, art galleries, and upscale dining options. Explore the boutiques, cafes, and cultural attractions in this vibrant community."
8,Nob Hill,2200000,3,2,2200,"Located in the prestigious neighborhood of Nob Hill, this 3-bedroom, 2-bathroom condo offers luxury living with panoramic city views. The open-concept living and dining area feature hardwood floors, custom built-ins, and a cozy fireplace. The gourmet kitchen is equipped with high-end appliances and a breakfast nook. The master suite includes a walk-in closet and a spa-like bathroom. Relax on the private balcony and watch the city lights sparkle at night.","Nob Hill is known for its historic mansions, upscale hotels, and iconic cable cars. Explore the nearby parks, museums, and fine dining establishments in this exclusive neighborhood."
9,Montecito,6000000,5,4,4000,"Live in luxury in this 5-bedroom, 4-bathroom estate in the prestigious neighborhood of Montecito. The grand foyer leads to a formal living room with a fireplace, a formal dining room, and a gourmet kitchen with top-of-the-line appliances. The master suite features a sitting area, a spa-like bathroom, and a walk-in closet. The backyard oasis includes a pool, spa, outdoor kitchen, and lush landscaping for ultimate privacy and relaxation.","Montecito is a secluded enclave known for its celebrity residents, upscale shopping, and Mediterranean-style estates. Enjoy easy access to hiking trails, beaches, and luxury resorts in this exclusive coastal community."
